algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,930,28,69,0.5641002655029297,True
DFS,1,2955,321,830,13.016942024230957,True
DLS,1,3279,647,1712,16.47188687324524,True
UCS_e1,1,497,36,NaN,0.2147350311279297,True
UCS_e2,1,412,NaN,83,0.18513846397399902,True
A*,1,213,28,69,0.07048869132995605,True
BFS,2,7451,112,275,14.536967277526855,True
DFS,2,8942,434,1132,122.83208131790161,True
DLS,2,2053,193,480,6.754924058914185,True
UCS_e1,2,4598,142,NaN,6.445802211761475,True
UCS_e2,2,4557,NaN,300,6.137020826339722,True
A*,2,1812,113,278,2.0828704833984375,True
BFS,3,3150,43,147,2.7950191497802734,True
DFS,3,1696,463,1290,4.491159439086914,True
DLS,3,1298,442,1248,3.557729959487915,True
UCS_e1,3,1548,57,NaN,0.8895401954650879,True
UCS_e2,3,2636,NaN,195,2.1415295600891113,True
A*,3,418,46,157,0.19304442405700684,True
BFS,4,4755,71,189,6.108643293380737,True
DFS,4,2680,719,1943,13.54315972328186,True
DLS,4,4785,955,2548,44.93936634063721,True
UCS_e1,4,4101,100,NaN,4.313475847244263,True
UCS_e2,4,3141,NaN,234,3.4461886882781982,True
A*,4,1014,6,9,0.7984874248504639,True
BFS,5,3229,68,211,3.997971296310425,True
DFS,5,0,0,0,0,False
DLS,5,3161,813,2212,20.3214852809906,True
UCS_e1,5,3051,96,NaN,2.865081310272217,True
UCS_e2,5,5016,NaN,248,5.814258813858032,True
A*,5,984,11,22,0.8270766735076904,True
BFS,6,5901,79,265,8.262798547744751,True
DFS,6,453,149,465,0.453524112701416,True
DLS,6,340,129,409,0.29653000831604004,True
UCS_e1,6,4952,123,NaN,5.736872911453247,True
UCS_e2,6,5841,NaN,324,7.683884382247925,True
A*,6,1584,92,302,1.5152323246002197,True
BFS,7,1492,42,139,1.3565504550933838,True
DFS,7,2765,728,1991,17.45622706413269,True
DLS,7,3437,874,2367,25.715198755264282,True
UCS_e1,7,791,65,NaN,0.579350471496582,True
UCS_e2,7,805,NaN,165,0.4911971092224121,True
A*,7,432,49,161,0.34984731674194336,True
BFS,8,4574,61,210,5.448615550994873,True
DFS,8,4259,298,851,22.73898148536682,True
DLS,8,0,0,0,0,False
UCS_e1,8,3222,97,NaN,3.144307851791382,True
UCS_e2,8,4552,NaN,257,4.815386056900024,True
A*,8,471,65,223,0.27820634841918945,True
BFS,9,79,7,20,0.022319316864013672,True
DFS,9,511,163,434,0.5890476703643799,True
DLS,9,5658,61,167,54.65539479255676,True
UCS_e1,9,0,0,NaN,0,False
UCS_e2,9,0,NaN,0,0,False
A*,9,42,12,36,0.02178788185119629,True
BFS,10,1411,28,82,0.8837301731109619,True
DFS,10,5197,987,2666,43.56723117828369,True
DLS,10,0,0,0,0,False
UCS_e1,10,520,45,NaN,0.2544748783111572,True
UCS_e2,10,786,NaN,98,0.3789393901824951,True
A*,10,208,31,90,0.12218189239501953,True
BFS,11,421,19,52,0.1922926902770996,True
DFS,11,46,17,48,0.015611410140991211,True
DLS,11,0,0,0,0,False
UCS_e1,11,0,0,NaN,0,False
UCS_e2,11,0,NaN,0,0,False
A*,11,73,18,52,0.029150009155273438,True
BFS,12,8740,164,561,21.726969718933105,True
DFS,12,1224,289,901,2.533846378326416,True
DLS,12,870,284,891,1.6402435302734375,True
UCS_e1,12,6747,220,NaN,12.859455347061157,True
UCS_e2,12,7934,NaN,646,13.846592903137207,True
A*,12,4171,171,584,6.743489980697632,True
BFS,13,1384,28,74,0.8647689819335938,True
DFS,13,1183,233,617,2.5612504482269287,True
DLS,13,8114,790,2105,110.9852921962738,True
UCS_e1,13,982,42,NaN,0.4453253746032715,True
UCS_e2,13,798,NaN,96,0.3743274211883545,True
A*,13,257,30,79,0.1023261547088623,True
BFS,14,6708,77,177,9.222687482833862,True
DFS,14,1520,353,904,3.5599582195281982,True
DLS,14,1764,497,1306,6.234726905822754,True
UCS_e1,14,2631,91,NaN,2.252566337585449,True
UCS_e2,14,3154,NaN,190,2.815018892288208,True
A*,14,547,77,178,0.3823392391204834,True
BFS,15,2138,36,108,1.674530267715454,True
DFS,15,6842,1420,3803,69.38109421730042,True
DLS,15,3168,695,1885,18.00420379638672,True
UCS_e1,15,0,0,NaN,0,False
UCS_e2,15,0,NaN,0,0,False
A*,15,195,31,97,0.0941464900970459,True
BFS,16,759,30,106,0.5013043880462646,True
DFS,16,2548,606,1676,13.270505905151367,True
DLS,16,9469,59,190,107.13102412223816,True
UCS_e1,16,465,45,NaN,0.22216582298278809,True
UCS_e2,16,582,NaN,139,0.30807924270629883,True
A*,16,238,33,116,0.15433764457702637,True
BFS,17,8577,114,362,15.741626739501953,True
DFS,17,717,213,634,0.949453592300415,True
DLS,17,695,248,734,1.0946366786956787,True
UCS_e1,17,7787,156,NaN,10.819937467575073,True
UCS_e2,17,8048,NaN,424,11.971551418304443,True
A*,17,2469,13,24,3.1386773586273193,True
BFS,18,2893,57,199,3.199361801147461,True
DFS,18,2290,555,1527,8.492127418518066,True
DLS,18,2516,462,1280,11.017799854278564,True
UCS_e1,18,1432,84,NaN,1.1053647994995117,True
UCS_e2,18,1418,NaN,225,1.0515716075897217,True
A*,18,307,51,188,0.2215728759765625,True
BFS,19,1508,35,108,1.1480417251586914,True
DFS,19,0,0,0,0,False
DLS,19,4435,937,2518,29.919164419174194,True
UCS_e1,19,1277,55,NaN,0.9424004554748535,True
UCS_e2,19,1305,NaN,133,0.7487702369689941,True
A*,19,360,41,123,0.18378329277038574,True
BFS,20,6500,97,244,11.427659034729004,True
DFS,20,757,245,630,1.6695411205291748,True
DLS,20,756,250,648,1.501067876815796,True
UCS_e1,20,4188,125,NaN,5.714385509490967,True
UCS_e2,20,4136,NaN,269,5.617234468460083,True
A*,20,1805,99,249,1.7408418655395508,True
BFS,21,1892,35,99,1.5206477642059326,True
DFS,21,4749,627,1681,35.15113091468811,True
DLS,21,4927,774,2068,44.25585889816284,True
UCS_e1,21,698,53,NaN,0.397275447845459,True
UCS_e2,21,1063,NaN,131,0.6490764617919922,True
A*,21,481,64,186,0.4033362865447998,True
BFS,22,1117,25,95,0.6867926120758057,True
DFS,22,668,74,222,0.9675140380859375,True
DLS,22,1219,282,796,2.5010669231414795,True
UCS_e1,22,709,42,NaN,0.32684969902038574,True
UCS_e2,22,942,NaN,127,0.5120954513549805,True
A*,22,113,25,96,0.04130101203918457,True
BFS,23,1117,25,95,0.6867926120758057,True
DFS,23,668,74,222,0.9675140380859375,True
DLS,23,1219,282,796,2.5010669231414795,True
UCS_e1,23,709,42,NaN,0.32684969902038574,True
UCS_e2,23,942,NaN,127,0.5120954513549805,True
A*,23,113,23,96,0.04130101203918457,True
BFS,24,6500,97,244,11.427659034729004,True
DFS,24,757,245,630,1.6695411205291748,True
DLS,24,756,250,648,1.501067876815796,True
UCS_e1,24,4188,125,NaN,5.714385509490967,True
UCS_e2,24,4136,NaN,269,5.617234468460083,True
A*,24,1805,99,249,1.7408418655395508,True
BFS,25,1892,35,99,1.5206477642059326,True
DFS,25,4749,627,1681,35.15113091468811,True
DLS,25,4927,774,2068,44.25585889816284,True
UCS_e1,25,698,53,NaN,0.397275447845459,True
UCS_e2,25,1063,NaN,131,0.6490764617919922,True
A*,25,481,64,186,0.4033362865447998,True
BFS,26,3107,49,165,2.8733274936676025,True
DFS,26,8876,922,2514,120.14909505844116,True
DLS,26,0,0,0,0,False
UCS_e1,26,2679,78,NaN,2.0790867805480957,True
UCS_e2,26,2858,NaN,210,2.4770689010620117,True
A*,26,471,53,178,0.2509324550628662,True
BFS,27,8033,138,332,17.86159896850586,True
DFS,27,4580,314,799,25.493440866470337,True
DLS,27,2650,741,1940,15.692742347717285,True
UCS_e1,27,7697,177,NaN,12.43169617652893,True
UCS_e2,27,6856,NaN,352,10.372577905654907,True
A*,27,3767,138,331,5.646167755126953,True
BFS,28,56,5,14,0.017740964889526367,True
DFS,28,44,12,31,0.0060122013092041016,True
DLS,28,32,4,14,0.005326747894287109,True
UCS_e1,28,37,7,NaN,0.0030193328857421875,True
UCS_e2,28,45,NaN,20,0.010226726531982422,True
A*,28,19,6,18,0.011789321899414062,True
BFS,29,8718,113,283,15.113534450531006,True
DFS,29,2237,575,1532,9.900704860687256,True
DLS,29,1879,644,1739,8.239241600036621,True
UCS_e1,29,6140,146,NaN,8.074301481246948,True
UCS_e2,29,6076,NaN,318,7.841732025146484,True
A*,29,1829,114,286,1.9714136123657227,True
BFS,30,6219,89,219,9.594578981399536,True
DFS,30,4077,813,2156,27.626822471618652,True
DLS,30,3872,788,2077,31.567251205444336,True
UCS_e1,30,3708,111,NaN,3.989710569381714,True
UCS_e2,30,4038,NaN,238,4.297576189041138,True
A*,30,977,90,222,0.7520954608917236,True
